, open , high , low , close , volume , range , 목표가  ,매수여부, 수익률 ,
2020-12-09 9:00," 20,025,000 "," 20,345,000 "," 19,216,000 "," 20,267,000 "," 5,827 "," 1,129,000 "," 20,519,500 ",0,1,
2020-12-10 9:00," 20,252,000 "," 20,275,000 "," 19,647,000 "," 19,950,000 "," 3,152 "," 628,000 "," 20,816,500 ",0,1,
2020-12-11 9:00," 19,950,000 "," 19,996,000 "," 19,404,000 "," 19,658,000 "," 4,508 "," 592,000 "," 20,264,000 ",0,1,
2020-12-12 9:00," 19,658,000 "," 20,650,000 "," 19,654,000 "," 20,585,000 "," 3,773 "," 996,000 "," 19,954,000 ",1,1.031622732,
2020-12-13 9:00," 20,585,000 "," 21,075,000 "," 20,459,000 "," 20,793,000 "," 4,109 "," 616,000 "," 21,083,000 ",0,1,
2020-12-14 9:00," 20,786,000 "," 21,000,000 "," 20,610,000 "," 20,939,000 "," 3,105 "," 390,000 "," 21,094,000 ",0,1,
2020-12-15 9:00," 20,927,000 "," 21,267,000 "," 20,805,000 "," 21,103,000 "," 3,887 "," 462,000 "," 21,122,000 ",1,0.999100464,
2020-12-16 9:00," 21,103,000 "," 23,033,000 "," 20,900,000 "," 22,888,000 "," 10,828 "," 2,133,000 "," 21,334,000 ",1,1.072841474,
2020-12-17 9:00," 22,881,000 "," 25,768,000 "," 22,473,000 "," 24,743,000 "," 18,026 "," 3,295,000 "," 23,947,500 ",1,1.033218499,
2020-12-18 9:00," 24,737,000 "," 25,247,000 "," 24,360,000 "," 25,151,000 "," 6,289 "," 887,000 "," 26,384,500 ",0,1,
2020-12-19 9:00," 25,151,000 "," 26,410,000 "," 24,947,000 "," 26,169,000 "," 7,211 "," 1,463,000 "," 25,594,500 ",1,1.022446229,
2020-12-20 9:00," 26,169,000 "," 26,562,000 "," 25,422,000 "," 25,880,000 "," 6,316 "," 1,140,000 "," 26,900,500 ",0,1,
2020-12-21 9:00," 25,890,000 "," 26,588,000 "," 24,600,000 "," 25,387,000 "," 13,641 "," 1,988,000 "," 26,460,000 ",1,0.959448224,
2020-12-22 9:00," 25,387,000 "," 26,828,000 "," 24,925,000 "," 26,776,000 "," 7,994 "," 1,903,000 "," 26,381,000 ",1,1.014972897,
2020-12-23 9:00," 26,776,000 "," 27,070,000 "," 25,600,000 "," 26,380,000 "," 12,398 "," 1,470,000 "," 27,727,500 ",0,1,
2020-12-24 9:00," 26,380,000 "," 26,608,000 "," 25,774,000 "," 26,503,000 "," 6,661 "," 834,000 "," 27,115,000 ",0,1,
2020-12-25 9:00," 26,503,000 "," 27,271,000 "," 26,171,000 "," 27,122,000 "," 7,980 "," 1,100,000 "," 26,920,000 ",1,1.007503715,
2020-12-26 9:00," 27,122,000 "," 29,524,000 "," 26,983,000 "," 29,378,000 "," 9,648 "," 2,541,000 "," 27,672,000 ",1,1.061650766,
2020-12-27 9:00," 29,378,000 "," 31,800,000 "," 28,802,000 "," 29,319,000 "," 19,900 "," 2,998,000 "," 30,648,500 ",1,0.956621042,
2020-12-28 9:00," 29,347,000 "," 30,587,000 "," 29,167,000 "," 30,249,000 "," 8,175 "," 1,420,000 "," 30,846,000 ",0,1,
2020-12-29 9:00," 30,219,000 "," 30,520,000 "," 29,028,000 "," 30,498,000 "," 7,302 "," 1,492,000 "," 30,929,000 ",0,1,
2020-12-30 9:00," 30,498,000 "," 31,999,000 "," 30,333,000 "," 31,891,000 "," 10,283 "," 1,666,000 "," 31,244,000 ",1,1.020707976,
2020-12-31 9:00," 31,923,000 "," 32,386,000 "," 31,300,000 "," 32,042,000 "," 8,041 "," 1,086,000 "," 32,756,000 ",0,1,
2021-01-01 9:00," 32,037,000 "," 32,599,000 "," 31,800,000 "," 32,296,000 "," 5,752 "," 799,000 "," 32,580,000 ",1,0.991282996,
2021-01-02 9:00," 32,295,000 "," 36,600,000 "," 31,920,000 "," 35,700,000 "," 17,451 "," 4,680,000 "," 32,694,500 ",1,1.091926777,
2021-01-03 9:00," 35,700,000 "," 39,453,000 "," 35,500,000 "," 37,537,000 "," 25,382 "," 3,953,000 "," 38,040,000 ",1,0.986777077,
2021-01-04 9:00," 37,537,000 "," 38,476,000 "," 33,000,000 "," 36,460,000 "," 23,598 "," 5,476,000 "," 39,513,500 ",0,1,
2021-01-05 9:00," 36,478,000 "," 38,590,000 "," 34,357,000 "," 38,093,000 "," 13,462 "," 4,233,000 "," 39,216,000 ",0,1,
2021-01-06 9:00," 38,107,000 "," 41,000,000 "," 37,380,000 "," 40,762,000 "," 15,169 "," 3,620,000 "," 40,223,500 ",1,1.013387696,
2021-01-07 9:00," 40,764,000 "," 44,990,000 "," 40,250,000 "," 44,698,000 "," 17,201 "," 4,740,000 "," 42,574,000 ",1,1.049889604,
2021-01-08 9:00," 44,698,000 "," 48,550,000 "," 42,271,000 "," 47,215,000 "," 21,891 "," 6,279,000 "," 47,068,000 ",1,1.003123141,
2021-01-09 9:00," 47,201,000 "," 47,650,000 "," 45,171,000 "," 45,718,000 "," 13,453 "," 2,479,000 "," 50,340,500 ",0,1,
2021-01-10 9:00," 45,716,000 "," 47,000,000 "," 39,500,000 "," 43,404,000 "," 23,031 "," 7,500,000 "," 46,955,500 ",1,0.924364558,
2021-01-11 9:00," 43,400,000 "," 43,570,000 "," 35,010,000 "," 40,094,000 "," 50,544 "," 8,560,000 "," 47,150,000 ",0,1,
2021-01-12 9:00," 40,094,000 "," 40,888,000 "," 36,654,000 "," 38,577,000 "," 22,473 "," 4,234,000 "," 44,374,000 ",0,1,
2021-01-13 9:00," 38,496,000 "," 41,900,000 "," 37,001,000 "," 41,380,000 "," 15,633 "," 4,899,000 "," 40,613,000 ",1,1.018885579,
2021-01-14 9:00," 41,380,000 "," 43,998,000 "," 40,510,000 "," 42,735,000 "," 15,953 "," 3,488,000 "," 43,829,500 ",1,0.975028234,
